sample_idx,true_label,predicted_label,probabilities,correct,loss
test_0000.jpg,1,1,[0.07970464 0.79226637 0.12802899],1,0.5619415044784546
test_0001.jpg,2,2,[0.04484391 0.07105201 0.88410413],1,0.5619415044784546
test_0002.jpg,2,2,[0.06459019 0.07334776 0.862062  ],1,0.5619415044784546
test_0003.jpg,0,0,[0.87429595 0.06149191 0.06421219],1,0.5619415044784546
test_0004.jpg,2,0,[0.45377043 0.11211804 0.43411157],0,0.5619415044784546
test_0005.jpg,2,2,[0.06379189 0.05562161 0.8805865 ],1,0.5619415044784546
test_0006.jpg,0,0,[0.48782033 0.3305464  0.18163326],1,0.5619415044784546
test_0007.jpg,1,1,[0.09613668 0.58040375 0.32345957],1,0.5619415044784546
test_0008.jpg,2,2,[0.09406909 0.07205929 0.83387166],1,0.5619415044784546
test_0009.jpg,0,0,[0.7835851  0.10817029 0.10824472],1,0.5619415044784546
test_0010.jpg,0,0,[0.61854833 0.12604944 0.25540224],1,0.5619415044784546
test_0011.jpg,1,1,[0.04178235 0.8967309  0.06148678],1,0.5619415044784546
test_0012.jpg,1,1,[0.05237819 0.8912465  0.05637528],1,0.5619415044784546
test_0013.jpg,1,1,[0.06721734 0.84907734 0.08370537],1,0.5619415044784546
test_0014.jpg,1,1,[0.07313576 0.86162573 0.06523861],1,0.5619415044784546
test_0015.jpg,1,1,[0.0622272  0.80840385 0.12936895],1,0.5619415044784546
test_0016.jpg,2,2,[0.3490719  0.1162473  0.53468084],1,0.542481541633606
test_0017.jpg,0,0,[0.4853003  0.27000204 0.24469772],1,0.542481541633606
test_0018.jpg,0,0,[0.79680336 0.10114071 0.10205591],1,0.542481541633606
test_0019.jpg,0,0,[0.8800405  0.05972349 0.060236  ],1,0.542481541633606
test_0020.jpg,2,2,[0.06283572 0.05666095 0.8805033 ],1,0.542481541633606
test_0021.jpg,0,0,[0.8501459  0.08085193 0.0690022 ],1,0.542481541633606
test_0022.jpg,0,0,[0.8738953  0.05336233 0.07274244],1,0.542481541633606
test_0023.jpg,2,2,[0.06848035 0.08986056 0.84165907],1,0.542481541633606
test_0024.jpg,1,1,[0.12004983 0.65501803 0.22493213],1,0.542481541633606
test_0025.jpg,2,2,[0.04970452 0.0692236  0.8810719 ],1,0.542481541633606
test_0026.jpg,2,2,[0.0644025  0.06519871 0.8703988 ],1,0.542481541633606
test_0027.jpg,0,0,[0.86731124 0.0676403  0.06504843],1,0.542481541633606
test_0028.jpg,1,1,[0.05747862 0.8459915  0.09652993],1,0.542481541633606
test_0029.jpg,0,0,[0.87398094 0.07066447 0.0553546 ],1,0.542481541633606
test_0030.jpg,2,2,[0.09410406 0.2821412  0.6237547 ],1,0.542481541633606
test_0031.jpg,1,1,[0.0606126  0.8701854  0.06920198],1,0.542481541633606
test_0032.jpg,1,1,[0.05951358 0.8971671  0.04331941],1,0.6419222354888916
test_0033.jpg,1,1,[0.03105525 0.922119   0.04682569],1,0.6419222354888916
test_0034.jpg,1,1,[0.07803005 0.7819058  0.14006414],1,0.6419222354888916
test_0035.jpg,2,2,[0.03731334 0.06905218 0.8936345 ],1,0.6419222354888916
test_0036.jpg,1,1,[0.05633665 0.8798884  0.06377493],1,0.6419222354888916
test_0037.jpg,2,2,[0.06909925 0.05459912 0.87630165],1,0.6419222354888916
test_0038.jpg,0,0,[0.8592526  0.05262206 0.08812539],1,0.6419222354888916
test_0039.jpg,2,2,[0.06769741 0.05287612 0.8794265 ],1,0.6419222354888916
test_0040.jpg,1,2,[0.10021445 0.24888775 0.6508978 ],0,0.6419222354888916
test_0041.jpg,2,1,[0.08996014 0.77553785 0.13450202],0,0.6419222354888916
test_0042.jpg,2,2,[0.05122944 0.05374883 0.89502174],1,0.6419222354888916
test_0043.jpg,0,0,[0.7263157  0.08212302 0.19156134],1,0.6419222354888916
test_0044.jpg,0,0,[0.87645376 0.07491223 0.04863405],1,0.6419222354888916
test_0045.jpg,1,1,[0.05983954 0.87983435 0.06032621],1,0.6419222354888916
test_0046.jpg,1,1,[0.03932743 0.9274711  0.03320147],1,0.6419222354888916
test_0047.jpg,1,1,[0.05866059 0.8815371  0.05980225],1,0.6419222354888916
