img_path,true_label,predicted_label,class_name_true,class_name_pred,probability_spaghetti,probability_ramen,probability_udon,correct,loss,heatmap_path
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0000.jpg,1,1,ramen,ramen,0.06961711496114731,0.8553616404533386,0.07502120733261108,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0001.jpg,2,2,udon,udon,0.04928789287805557,0.06592056900262833,0.8847915530204773,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0002.jpg,2,2,udon,udon,0.06509529799222946,0.06648474186658859,0.8684200048446655,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0003.jpg,0,0,spaghetti,spaghetti,0.8583443760871887,0.07063611596822739,0.0710194855928421,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0004.jpg,2,0,udon,spaghetti,0.5421388745307922,0.09151004254817963,0.36635106801986694,0,0.5372167229652405,/home/nckusoc/桌面/claire/course-img-classification/heatmap_results/epoch_7/incorrect_predictions/cam_test_0004.png
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0005.jpg,2,2,udon,udon,0.06668650358915329,0.059681523591279984,0.8736319541931152,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0006.jpg,0,0,spaghetti,spaghetti,0.6186357736587524,0.24937844276428223,0.13198573887348175,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0007.jpg,1,1,ramen,ramen,0.05911916121840477,0.819279670715332,0.12160111963748932,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0008.jpg,2,2,udon,udon,0.08390115946531296,0.06722971051931381,0.8488690257072449,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0009.jpg,0,0,spaghetti,spaghetti,0.862452507019043,0.07347255200147629,0.06407494097948074,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0010.jpg,0,0,spaghetti,spaghetti,0.7349028587341309,0.09137725830078125,0.17371989786624908,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0011.jpg,1,1,ramen,ramen,0.053540993481874466,0.8768340349197388,0.06962494552135468,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0012.jpg,1,1,ramen,ramen,0.061858706176280975,0.8677600622177124,0.07038126140832901,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0013.jpg,1,1,ramen,ramen,0.0653824731707573,0.85493004322052,0.0796874463558197,1,0.5372167229652405,
/home/nckusoc/桌面/claire/course-img-classification/dataset/test/unknown/test_0014.jpg,1,1,ramen,ramen,0.06817790865898132,0.8474910259246826,0.08433102816343307,1,0.5372167229652405,
