sample_idx,true_label,predicted_label,batch_loss
test_0000.jpg,1,0,1.2334187030792236
test_0001.jpg,2,1,1.2334187030792236
test_0002.jpg,2,1,1.2334187030792236
test_0003.jpg,0,0,1.2334187030792236
test_0004.jpg,2,1,1.2334187030792236
test_0005.jpg,2,1,1.2334187030792236
test_0006.jpg,0,0,1.2334187030792236
test_0007.jpg,1,1,1.2334187030792236
test_0008.jpg,2,1,1.2334187030792236
test_0009.jpg,0,0,1.2334187030792236
test_0010.jpg,0,2,1.2334187030792236
test_0011.jpg,1,0,1.2334187030792236
test_0012.jpg,1,0,1.2334187030792236
test_0013.jpg,1,0,1.2334187030792236
test_0014.jpg,1,0,1.2334187030792236
test_0015.jpg,1,0,1.2334187030792236
test_0016.jpg,2,1,1.1485586166381836
test_0017.jpg,0,0,1.1485586166381836
test_0018.jpg,0,0,1.1485586166381836
test_0019.jpg,0,0,1.1485586166381836
test_0020.jpg,2,1,1.1485586166381836
test_0021.jpg,0,0,1.1485586166381836
test_0022.jpg,0,0,1.1485586166381836
test_0023.jpg,2,1,1.1485586166381836
test_0024.jpg,1,1,1.1485586166381836
test_0025.jpg,2,1,1.1485586166381836
test_0026.jpg,2,1,1.1485586166381836
test_0027.jpg,0,0,1.1485586166381836
test_0028.jpg,1,0,1.1485586166381836
test_0029.jpg,0,2,1.1485586166381836
test_0030.jpg,2,1,1.1485586166381836
test_0031.jpg,1,0,1.1485586166381836
test_0032.jpg,1,0,1.4176037311553955
test_0033.jpg,1,0,1.4176037311553955
test_0034.jpg,1,0,1.4176037311553955
test_0035.jpg,2,1,1.4176037311553955
test_0036.jpg,1,0,1.4176037311553955
test_0037.jpg,2,1,1.4176037311553955
test_0038.jpg,0,0,1.4176037311553955
test_0039.jpg,2,1,1.4176037311553955
test_0040.jpg,1,0,1.4176037311553955
test_0041.jpg,2,0,1.4176037311553955
test_0042.jpg,2,1,1.4176037311553955
test_0043.jpg,0,2,1.4176037311553955
test_0044.jpg,0,0,1.4176037311553955
test_0045.jpg,1,0,1.4176037311553955
